Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime
2016,1,1,11,1,2016-01-11,AA,19805,AA,N3CPAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2319,49.00,49,1,3,2200-2259,8,2327,38,4,18,42,24.00,24,1,1,0001-0559,0,NULL,0,168,143,131,1,989,4,0.00,0.00,0.00,0.00,24.00,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,12,2,2016-01-12,AA,19805,AA,N3KKAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2224,-6.00,0,0,-1,2200-2259,12,2236,2357,12,18,9,-9.00,0,0,-1,0001-0559,0,NULL,0,168,165,141,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,13,3,2016-01-13,AA,19805,AA,N3KKAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2225,-5.00,0,0,-1,2200-2259,13,2238,2355,5,18,2400,-18.00,0,0,-2,0001-0559,0,NULL,0,168,155,137,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,14,4,2016-01-14,AA,19805,AA,N3DSAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2228,-2.00,0,0,-1,2200-2259,13,2241,6,38,18,44,26.00,26,1,1,0001-0559,0,NULL,0,168,196,145,1,989,4,0.00,0.00,26.00,0.00,0.00,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,15,5,2016-01-15,AA,19805,AA,N3DUAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,23,113.00,113,1,7,2200-2259,16,39,208,9,18,217,119.00,119,1,7,0001-0559,0,NULL,0,168,174,149,1,989,4,113.00,0.00,6.00,0.00,0.00,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,16,6,2016-01-16,AA,19805,AA,N3JFAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2045,2057,12.00,12,0,0,2000-2059,14,2111,2243,4,2235,2247,12.00,12,0,0,2200-2259,0,NULL,0,170,170,152,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,18,1,2016-01-18,AA,19805,AA,N3HUAA,217,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,2359,2359,0.00,0,0,0,2300-2359,17,16,718,11,725,729,4.00,4,0,0,0700-0759,0,NULL,0,266,270,242,1,2174,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,17,7,2016-01-17,AA,19805,AA,N3EFAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2231,1.00,1,0,0,2200-2259,27,2258,29,17,18,46,28.00,28,1,1,0001-0559,0,NULL,0,168,195,151,1,989,4,1.00,0.00,27.00,0.00,0.00,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,18,1,2016-01-18,AA,19805,AA,N3ECAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2233,3.00,3,0,0,2200-2259,31,2304,23,10,18,33,15.00,15,1,1,0001-0559,0,NULL,0,168,180,139,1,989,4,0.00,3.00,12.00,0.00,0.00,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,19,2,2016-01-19,AA,19805,AA,N3DSAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2226,-4.00,0,0,-1,2200-2259,11,2237,7,16,18,23,5.00,5,0,0,0001-0559,0,NULL,0,168,177,150,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,20,3,2016-01-20,AA,19805,AA,N3MRAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2236,6.00,6,0,0,2200-2259,10,2246,14,8,18,22,4.00,4,0,0,0001-0559,0,NULL,0,168,166,148,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,21,4,2016-01-21,AA,19805,AA,N3ACAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2239,9.00,9,0,0,2200-2259,17,2256,20,6,18,26,8.00,8,0,0,0001-0559,0,NULL,0,168,167,144,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,22,5,2016-01-22,AA,19805,AA,N3MXAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2236,6.00,6,0,0,2200-2259,15,2251,14,5,18,19,1.00,1,0,0,0001-0559,0,NULL,0,168,163,143,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,23,6,2016-01-23,AA,19805,AA,N3HUAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2045,2041,-4.00,0,0,-1,2000-2059,22,2103,2216,14,2235,2230,-5.00,0,0,-1,2200-2259,0,NULL,0,170,169,133,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,24,7,2016-01-24,AA,19805,AA,N3DEAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2226,-4.00,0,0,-1,2200-2259,11,2237,2357,13,18,10,-8.00,0,0,-1,0001-0559,0,NULL,0,168,164,140,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,1,1,25,1,2016-01-25,AA,19805,AA,N3CJAA,79,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2230,2226,-4.00,0,0,-1,2200-2259,14,2240,2354,9,18,3,-15.00,0,0,-1,0001-0559,0,NULL,0,168,157,134,1,989,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
