Code,Description
1014001,"Albuquerque, NM: Albuquerque International Sunport"
1014002,"Albuquerque, NM: Albuquerque International Sunport"
1014003,"Albuquerque, NM: Albuquerque International Sunport"
1014101,"Aberdeen, SD: Aberdeen Regional"
1014102,"Aberdeen, SD: Aberdeen Regional"
1014103,"Aberdeen, SD: Aberdeen Regional"
1014201,"Abu Simbel, Egypt: Abu Simbel Airport"
1014202,"Abu Simbel, Egypt: Abu Simbel Airport"
1014203,"Abu Simbel, Egypt: Abu Simbel Airport"
1014301,"Al-Baha, Saudi Arabia: Al-Baha Airport"
1014302,"Al-Baha, Saudi Arabia: Al-Baha Airport"
1014401,"Abuja, Nigeria: Abuja Nnamdi Azikiwe International"
1014402,"Abuja, Nigeria: Abuja Nnamdi Azikiwe International"
1014501,"Albury, Australia: Albury Airport"
1014502,"Albury, Australia: Albury Airport"
1014601,"Albany, GA: Southwest Georgia Regional"
1014602,"Albany, GA: Southwest Georgia Regional"
1014701,"Aberdeen, United Kingdom: Aberdeen Dyce"
1014702,"Aberdeen, United Kingdom: Aberdeen Dyce"
1014703,"Aberdeen, United Kingdom: Aberdeen Dyce"
1014801,"Acapulco, Mexico: General Juan N Alvarez International"
1014802,"Acapulco, Mexico: General Juan N Alvarez International"
1014901,"Bellaire, MI: Antrim County"
1014902,"Bellaire, MI: Antrim County"
1015001,"Accra, Ghana: Accra Kotoka International"
1015002,"Accra, Ghana: Accra Kotoka International"
1015101,"Arrecife, Spain: Lanzarote"
1015102,"Arrecife, Spain: Lanzarote"
1015201,"Altenrhein, Switzerland: St Gallen Altenrhein"
1015202,"Altenrhein, Switzerland: St Gallen Altenrhein"
1015301,"Alderney, United Kingdom: Alderney Airport"
1015302,"Alderney, United Kingdom: Alderney Airport"
1015303,"Alderney, United Kingdom: Alderney Airport"
1015401,"Nantucket, MA: Nantucket Memorial"
1015402,"Nantucket, MA: Nantucket Memorial"
1015403,"Nantucket, MA: Nantucket Memorial"
1015501,"Waco, TX: Waco Regional"
1015502,"Waco, TX: Waco Regional"
1015601,"Achutupo, Panama: Achutupo Airport"
1015701,"Arcata/Eureka, CA: Arcata"
1015702,"Arcata/Eureka, CA: Arcata"
1015703,"Arcata/Eureka, CA: Arcata"
1015801,"Atlantic City, NJ: Nafec Atlantic City"
1015802,"Atlantic City, NJ: Nafec Atl"
1015803,"Atlantic City, NJ: Atlantic City International"
1015804,"Atlantic City, NJ: Atlantic City International"
1015901,"Adana, Turkey: Adana Sakirpasa"
1015902,"Adana, Turkey: Adana International"
1016001,"Izmir, Turkey: Adnan Menderes"
1016002,"Izmir, Turkey: Adnan Menderes"
1016101,"Andakombe, Papua New Guinea: Andakombe Airport"
1016102,"Andakombe, Papua New Guinea: Andakombe Airport"
1016201,"Addis Ababa, Ethiopia: Haile Selassie I International"
1016202,"Addis Ababa, Ethiopia: Bole International"
1016301,"Aden, South Yemen: Aden International"
1016302,"Aden, Yemen: Aden International"
1016303,"Aden, Yemen: Aden International"
1016401,"Amman, Jordan: King Abdullah Ben"
1016402,"Amman, Jordan: Marka International"
1016403,"Amman, Jordan: Marka International"
1016501,"Adak Island, AK: Adak NS"
1016502,"Adak Island, AK: Adak"
1016503,"Adak Island, AK: Adak"
1016504,"Adak Island, AK: Adak"
1016601,"Adelaide, Australia: Adelaide International"
1016602,"Adelaide, Australia: Adelaide International"
1016701,"Ardmore, OK: Ardmore Municipal"
1016702,"Ardmore, OK: Ardmore Municipal"
1016801,"Andes, Colombia: Andes Airport"
1016802,"Andes, Colombia: Andes Airport"
1016803,"Andes, Colombia: Andes Airport"
1016901,"Andamooka, Australia: Andamooka Airport"
1017001,"Kodiak, AK: Kodiak Airport"
1017101,"Dallas, TX: Addison"
1017102,"Dallas, TX: Addison"
1017201,"Camp Springs, MD: Andrews AFB"
1017202,"Camp Springs, MD: Andrews AFB"
1017203,"Camp Springs, MD: Joint Base Andrews"
1017301,"St Andrews, United Kingdom: RAF Leuchars"
1017302,"St Andrews, United Kingdom: RAF Leuchars"
1017401,"San Andres Island, Colombia: San Andres"
1017402,"San Andres Island, Colombia: Sesquicentenario"
1017403,"San Andres Island, Colombia: Gustavo Rojas Pinilla"
1017501,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
1017601,"Aleneva, AK: Aleneva Airport"
1017701,"Padang Sidempuan, Indonesia: Aek Godang"
1017801,"Abeche, Chad: Abeche Airport"
1017802,"Abeche, Chad: Abeche Airport"
1017803,"Abeche, Chad: Abeche Airport"
1018001,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
1018002,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
1018101,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
1018102,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
1018201,"Adler/Sochi, U.S.S.R.: Adler/Sochi Airport"
1018202,"Adler/Sochi, Russia: Adler/Sochi Airport"
1018301,"Aalesund, Norway: Vigra"
1018302,"Aalesund, Norway: Vigra"
1018303,"Aalesund, Norway: Vigra"
1018401,"Allakaket, AK: Allakaket Airport"
1018402,"Allakaket, AK: Allakaket Airport"
1018501,"Alexandria, LA: England AFB"
1018502,"Alexandria, LA: Alexandria International"
1018601,"Akureyri, Iceland: Akureyri Airport"
1018602,"Akureyri, Iceland: Akureyri Airport"
1018603,"Akureyri, Iceland: Akureyri Airport"
1018801,"San Rafael, Argentina: San Rafael Airport"
1018802,"San Rafael, Argentina: San Rafael Airport"
1018803,"San Rafael, Argentina: San Rafael Airport"
1018901,"Colorado Springs, CO: USAF Academy Airfield"
1018902,"Colorado Springs, CO: USAF Academy Airfield"
1018903,"Colorado Springs, CO: USAF Academy Airfield"
1019001,"Nebraska, NE: Nebraska City Municipal"
1019002,"Nebraska, NE: Nebraska City Municipal"
1019003,"Nebraska, NE: Nebraska City Municipal"
1019004,"Nebraska, NE: Nebraska City Municipal"
1019101,"Afton, WY: Afton Municipal"
1019102,"Afton, WY: Afton Municipal"
1019201,"Wadesboro, NC: Anson County"
1019202,"Wadesboro, NC: Anson County"
1019401,"Dallas/Fort Worth, TX: Fort Worth Alliance"
1019402,"Dallas/Fort Worth, TX: Fort Worth Alliance"
1019403,"Dallas/Fort Worth, TX: Fort Worth Alliance"
1019501,"Afyon, Turkey: Afyon Airport"
1019502,"Afyon, Turkey: Afyon Airport"
1019601,"Agadir, Morocco: Agadir/Inezgane"
1019602,"Agadir, Morocco: Inezgane"
1019701,"Augsburg, West Germany: Muehlhausen"
1019702,"Augsburg, Germany: Augsburg Airport"
1019703,"Augsburg, Germany: Augsburg Airport"
1019801,"Pittsburgh, PA: Allegheny County"
1019802,"Pittsburgh, PA: Allegheny County"
1019803,"Pittsburgh, PA: Allegheny County"
1019804,"Pittsburgh, PA: Allegheny County"
1019901,"Agen, France: La Garenne"
1019902,"Agen, France: La Garenne"
1019903,"Agen, France: Agen La Garenne"
1019904,"Agen, France: Agen La Garenne"
1020001,"Angoram, Papua New Guinea: Angoram Airport"
1020101,"Angelholm/Helsingborg, Sweden: Angelholm-Helsingborg"
1020102,"Angelholm/Helsingborg, Sweden: Angelholm-Helsingborg"
1020103,"Angelholm/Helsingborg, Sweden: Angelholm"
1020201,"Kagua, Papua New Guinea: Kagua Airport"
1020301,"Wanigela, Papua New Guinea: Wanigela Airport"
1020302,"Wanigela, Papua New Guinea: Wanigela Airport"
1020401,"Angoon, AK: Angoon Seaplane Base"
1020501,"Malaga, Spain: Malaga Airport"
1020502,"Malaga, Spain: Malaga Airport"
1020503,"Malaga, Spain: Malaga Airport"
1020504,"Malaga, Spain: Malaga Airport"
1020505,"Malaga, Spain: Malaga Costa del Sol"
1020601,"Agrinion, Greece: Agrinion New"
1020602,"Agrinion, Greece: Agrinion Airport"
1020701,"Agra, India: Agra Airport"
1020702,"Agra, India: Agra Airport"
1020801,"Augusta, GA: Bush Field"
1020802,"Augusta, GA: Augusta Regional at Bush Field"
1020803,"Augusta, GA: Augusta Regional at Bush Field"
1020901,"Ciudad del Este, Paraguay: Guarani International"
1021001,"Aguascalientes, Mexico: Jesus Teran International"
1021002,"Aguascalientes, Mexico: Jesus Teran International"
1021101,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
1021102,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
1021201,"Agatti Island, India: Agatti Island Airport"
1021301,"Okinawa, Japan: Naha AB"
1021401,"Abha, Saudi Arabia: Abha Airport"
1021402,"Abha, Saudi Arabia: Abha Airport"
1021403,"Abha, Saudi Arabia: Abha Airport"
1021501,"Ardmore, OK: Ardmore Airport"
1021502,"Ardmore, OK: Ardmore Downtown Executive"
1021601,"Athens, GA: Athens Municipal"
1021602,"Athens, GA: Athens/Ben Epps"
1021603,"Athens, GA: Athens/Ben Epps"
1021701,"Alghero/Sassari, Italy: Alghero"
1021702,"Alghero/Sassari, Italy: Alghero"
1021801,"Ahuas, Honduras: Ahuas Airport"
1021802,"Ahuas, Honduras: Ahuas Airport"
1021803,"Ahuas, Honduras: Auas"
1021901,"Amchitka Island, AK: Amchitka"
1022001,"Al Hoceima, Morocco: Cherif El Idrissi International"
1022002,"Al Hoceima, Morocco: Cherif El Idrissi International"
1022101,"Alliance, NE: Alliance Municipal"
1022102,"Alliance, NE: Alliance Municipal"
1022103,"Alliance, NE: Alliance Municipal"
1022201,"Anita Bay, AK: Anita Bay Airport"
1022301,"Anderson, IN: Anderson Municipal-Darlington Field"
1022302,"Anderson, IN: Anderson Municipal-Darlington Field"
1022401,"Aiken, SC: Aiken Municipal"
1022402,"Aiken, SC: Aiken Municipal"
1022501,"Wainwright, AK: Wainwright Airport"
1022502,"Wainwright, AK: Wainwright Airport"
1022601,"Aitutaki, Cook Islands: Aitutaki Airport"
1022602,"Aitutaki, Cook Islands: Aitutaki Airport"
1022603,"Aitutaki, Cook Islands: Aitutaki Airport"
1022701,"Atlantic City, NJ: Bader Field"
1022702,"Atlantic City, NJ: Bader Field"
1022801,"Lake of the Ozarks, MO: Lee C Fine Memorial"
1022802,"Lake of the Ozarks, MO: Lee C Fine Memorial"
1022901,"Ajaccio, France: Ajaccio/Campo Dell Oro"
1022902,"Ajaccio, France: Napoleon Bonaparte"
1022903,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
1022904,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
1023001,"Jouf, Saudi Arabia: Al Jouf"
1023002,"Jouf, Saudi Arabia: Al Jouf"
1023101,"Akjoujt, Mauritania: Akjoujt Airport"
1023102,"Akjoujt, Mauritania: Akjoujt Airport"
1023201,"Aizwal, India: Lengpui"
1023301,"Anjouan, Comoros: Ouani"
1023302,"Anjouan, Comoros: Ouani"
